name,description,price,stock,category,brand,rating,image1,image2,image3,image4,image5
Daron Stops,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,9070.4,646,Office,Abata,0.8,http://dummyimage.com/233x100.png/5fa2dd/ffffff,,http://dummyimage.com/149x100.png/cc0000/ffffff,http://dummyimage.com/102x100.png/dddddd/000000,
Farand Ponter,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",5999.9,376,Electronics,Shufflester,1.4,http://dummyimage.com/219x100.png/ff4444/ffffff,http://dummyimage.com/219x100.png/cc0000/ffffff,,http://dummyimage.com/133x100.png/dddddd/000000,
Harmonia Rumming,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2282.61,354,Kitchen,Eidel,3.3,http://dummyimage.com/196x100.png/dddddd/000000,http://dummyimage.com/218x100.png/dddddd/000000,http://dummyimage.com/138x100.png/dddddd/000000,http://dummyimage.com/215x100.png/dddddd/000000,
Vito Lermit,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",5530.29,831,Kitchen,Jetpulse,1.7,http://dummyimage.com/103x100.png/ff4444/ffffff,,http://dummyimage.com/123x100.png/cc0000/ffffff,,http://dummyimage.com/128x100.png/5fa2dd/ffffff
Caitlin Panting,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",3029.58,250,Food - Meat,Plambee,3.1,http://dummyimage.com/155x100.png/cc0000/ffffff,http://dummyimage.com/103x100.png/cc0000/ffffff,,,http://dummyimage.com/154x100.png/dddddd/000000
Joni Racine,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",5196.56,1,Food - Spices,Yombu,2.6,http://dummyimage.com/112x100.png/cc0000/ffffff,http://dummyimage.com/188x100.png/dddddd/000000,http://dummyimage.com/203x100.png/dddddd/000000,,
Sancho McShirie,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,4062.78,515,Food - Dairy,Jayo,2.4,http://dummyimage.com/126x100.png/ff4444/ffffff,http://dummyimage.com/101x100.png/ff4444/ffffff,http://dummyimage.com/246x100.png/ff4444/ffffff,http://dummyimage.com/197x100.png/ff4444/ffffff,
Vinnie Reason,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",7446.29,776,Food - Soups,Kaymbo,3.9,http://dummyimage.com/231x100.png/5fa2dd/ffffff,http://dummyimage.com/151x100.png/dddddd/000000,http://dummyimage.com/168x100.png/ff4444/ffffff,http://dummyimage.com/145x100.png/5fa2dd/ffffff,http://dummyimage.com/118x100.png/dddddd/000000
Missie Guerro,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",8263.32,588,Kitchen,Meemm,0.1,http://dummyimage.com/196x100.png/ff4444/ffffff,http://dummyimage.com/221x100.png/dddddd/000000,http://dummyimage.com/144x100.png/dddddd/000000,,
Marvin Pawlyn,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",1526.26,462,Food - Nuts,Flashset,3.4,http://dummyimage.com/123x100.png/dddddd/000000,http://dummyimage.com/140x100.png/cc0000/ffffff,,http://dummyimage.com/125x100.png/cc0000/ffffff,
